FixationDurationInS,BPOGX,BPOGY,Participant,AOIName,TIME(2018/10/26 16:24:10.124),FixationDuration
0.21426,0.38881,0.71208,12345,text,0.32975,214.26
0.32956,0.53586,0.95238,12345,model,0.72554,329.56
0.19785,0.83627,0.95188,12345,task,0.98985,197.85
0.37899,0.87927,0.91907,12345,task,1.38549,378.99
0.29739,0.95721,1.0502,12345,task,1.69873,297.39
0.04988,0.91123,1.07552,12345,task,1.76463,49.88
0.19804,0.91355,1.07033,12345,task,1.97939,198.04
0.47797,0.93602,0.96763,12345,task,2.47363,477.97
0.28008,0.8429,0.20033,12345,task,4.27068,280.08
0.21356,0.84008,0.14899,12345,task,4.50121,213.56
0.46154,0.87879,0.05473,12345,task,4.97979,461.54
0.13157,0.84071,0.00383,12345,task,5.22668,131.57
0.34638,0.80279,0.15366,12345,task,5.73784,346.38
0.16444,0.13842,0.20904,12345,text,6.06772,164.44
0.28017,0.01743,0.16908,12345,hierachy,6.46356,280.17
0.56067,0.00078,0.21449,12345,hierachy,7.04062,560.67
0.46155,0.21245,0.3018,12345,text,7.5188,461.55
0.3306,0.11569,0.12718,12345,text,7.91504,330.6
0.21437,0.12706,0.2171,12345,text,8.19511,214.37
0.37895,0.91637,0.22637,12345,task,8.93678,378.95
0.31303,0.88132,0.14528,12345,task,9.2664,313.03
0.92302,0.77675,0.01156,12345,model,10.20633,923.02
0.52748,0.81793,0.11213,12345,task,10.75058,527.48
0.29674,0.8854,0.27341,12345,task,11.06383,296.74
0.09978,0.8452,0.31142,12345,task,11.67433,99.78
0.21437,0.28675,0.19065,12345,text,12.05307,214.37
0.19742,0.15584,0.20434,12345,text,12.2675,197.42
0.80721,0.00283,0.16644,12345,hierachy,13.76756,807.21
0.14909,0.70848,0.08819,12345,model,16.5381,149.09
0.08315,0.70334,0.08484,12345,model,16.63731,83.15
0.27969,0.87788,0.2114,12345,task,17.03201,279.69
0.75806,0.91227,0.21868,12345,task,17.80701,758.06
0.0658,0.54675,-0.05001,12345,model,17.88997,65.8
0.28088,0.89746,0.20882,12345,task,18.53305,280.88
0.21436,0.86744,0.3337,12345,task,18.76382,214.36
0.34557,0.82134,0.40992,12345,task,19.12613,345.57
0.46103,0.81398,0.21724,12345,task,19.60423,461.03
0.2809,0.79763,0.06064,12345,model,19.951,280.9
0.6098,0.90512,0.10557,12345,task,20.57751,609.8
0.2476,0.90448,0.10468,12345,task,20.84148,247.6
0.2151,0.13821,0.15847,12345,text,21.41885,215.1
0.04953,0.20045,0.19183,12345,text,21.48442,49.53
0.32974,0.89616,0.28115,12345,task,21.88007,329.74
0.41196,0.90566,0.24272,12345,task,22.3085,411.96
0.06581,0.89909,0.24718,12345,task,22.39084,65.81
0.34648,0.74614,0.18142,12345,model,22.85316,346.48
0.19812,0.92271,0.21121,12345,task,23.26517,198.12
0.33005,0.88998,0.71567,12345,task,24.10629,330.05
0.23073,0.82328,0.71184,12345,task,24.45158,230.73
0.23038,0.87053,0.87109,12345,task,24.79811,230.38
0.24713,0.87981,0.81557,12345,task,25.11166,247.13
0.08289,0.87219,0.88168,12345,task,25.2605,82.89
0.08275,0.90064,0.82153,12345,task,25.35858,82.75
0.31316,0.83762,0.25485,12345,task,26.26561,313.16
0.62683,0.83597,0.39586,12345,task,26.90881,626.83
0.60983,0.79764,0.30268,12345,model,27.53519,609.83
0.06641,0.80284,0.28414,12345,task,27.61815,66.41
0.21436,0.81599,0.12116,12345,task,28.14557,214.36
0.9897,0.87587,0.19561,12345,task,29.15164,989.7
0.31328,0.88999,0.35865,12345,task,29.77788,313.28
0.49477,0.68516,0.36156,12345,model,30.28885,494.77
0.57722,0.42948,0.34029,12345,model,30.93219,577.22
0.23099,0.83421,0.30166,12345,task,31.22899,230.99
0.26306,0.59263,0.05563,12345,model,31.50871,263.06
0.19719,0.81548,0.05148,12345,task,31.82199,197.19
0.06612,0.46907,0.01639,12345,model,31.90488,66.12
0.19772,0.26971,0.09889,12345,text,32.16899,197.72
0.21481,0.16969,-0.11306,12345,text,32.44897,214.81
0.19872,0.84261,0.2167,12345,task,32.66338,198.72
0.0826,0.80693,0.2339,12345,task,32.81142,82.6
0.23064,0.8665,0.58122,12345,task,33.45435,230.64
0.61031,0.80421,0.19183,12345,task,35.054,610.31
0.23033,0.83523,0.56493,12345,task,35.30095,230.33
0.14806,0.58862,1.28021,12345,model,35.5154,148.06
0.60986,0.01097,0.26267,12345,hierachy,60.9893,609.86
0.31337,0.009,0.3808,12345,hierachy,61.41835,313.37
0.19748,0.79221,0.3038,12345,model,62.07765,197.48
0.14677,0.86939,0.38662,12345,task,62.24298,146.77
0.21507,0.90832,0.42035,12345,task,62.82025,215.07
0.26422,0.95657,0.5119,12345,task,63.19925,264.22
0.26414,0.90367,0.30828,12345,task,63.4792,264.14
0.26431,0.94166,0.60599,12345,task,63.75972,264.31
0.04976,0.21213,0.64671,12345,text,67.48549,49.76
0.2308,0.25207,1.35759,12345,text,67.78233,230.8
0.09885,0.21187,1.96234,12345,text,67.94724,98.85
0.09885,0.23153,2.20536,12345,text,68.26079,98.85
0.27979,0.79754,0.8983,12345,model,69.15076,279.79
0.21431,0.70412,0.65611,12345,model,70.22305,214.31
0.19792,0.79414,0.28784,12345,model,71.97026,197.92
0.29707,0.81659,0.38296,12345,task,72.33362,297.07
0.24709,0.91671,0.39016,12345,task,72.59711,247.09
