FixationDurationInS,BPOGX,BPOGY,Participant,AOIName,TIME(2018/10/26 16:24:10.124),FixationDuration
3.56152,0.84233,0.36593,123456,task,824.44861,3561.52
0.39661,0.80374,0.43781,123456,task,824.86121,396.61
0.98926,0.86166,0.35891,123456,task,825.86682,989.26
0.70911,0.82764,0.44584,123456,task,826.59229,709.11
0.44495,0.87206,0.43532,123456,task,827.05383,444.95
0.89001,0.93075,0.39881,123456,task,827.96057,890.01
0.46216,0.83809,0.47508,123456,task,828.43909,462.16
1.08875,0.85984,0.43984,123456,task,829.54407,1088.75
0.24768,0.86278,0.34103,123456,task,829.80774,247.68
0.29724,0.83808,0.44001,123456,task,830.12073,297.24
0.36304,0.8769,0.45941,123456,task,830.49951,363.04
0.34668,0.85927,0.38043,123456,task,830.86279,346.68
0.37927,0.84472,0.48938,123456,task,831.25842,379.27
1.13745,0.87722,0.46439,123456,task,832.41211,1137.45
0.8241,0.92236,0.45633,123456,task,833.2533,824.1
0.65942,0.87217,0.49948,123456,task,833.92932,659.42
0.27979,0.51514,0.18645,123456,model,834.22583,279.79
0.29736,0.8312,0.49629,123456,task,834.58936,297.36
0.27991,0.69149,0.64156,123456,model,834.88538,279.91
0.21472,0.69884,1.38299,123456,model,835.16602,214.72
0.3623,0.67937,1.58328,123456,model,835.59412,362.3
0.44556,0.70391,1.42152,123456,model,836.05664,445.56
0.2804,0.71778,1.33138,123456,model,836.35303,280.4
0.34644,0.65763,1.11816,123456,model,836.71606,346.44
0.47864,0.71569,0.57565,123456,model,837.25977,478.64
0.19788,0.61012,1.32231,123456,model,837.47412,197.88
0.34656,0.69738,1.46022,123456,model,837.88623,346.56
0.26343,0.59342,0.96455,123456,model,838.1665,263.43
0.4447,0.68512,0.58271,123456,model,838.67773,444.7
0.23157,0.51526,1.15814,123456,model,838.92554,231.57
0.23059,0.53436,1.20707,123456,model,839.271,230.59
0.28052,0.56332,1.37821,123456,model,839.56812,280.52
0.11572,0.65591,1.04771,123456,model,839.74988,115.72
0.51099,0.65965,0.71675,123456,model,840.32642,510.99
0.33032,0.47881,1.12935,123456,model,840.72241,330.32
0.31348,0.51252,1.04687,123456,model,841.05188,313.48
0.29675,0.5498,0.83014,123456,model,841.36536,296.75
1.43384,0.69154,0.59376,123456,model,842.86536,1433.84
2.04443,0.69146,0.59587,123456,model,845.22351,2044.43
1.33557,0.74867,0.5578,123456,model,846.87256,1335.57
0.75842,0.89394,0.53732,123456,task,847.64722,758.42
0.36292,0.88483,0.43236,123456,task,848.07568,362.92
