FixationDurationInS,BPOGX,BPOGY,Participant,AOIName,TIME(2018/10/26 16:24:10.124),FixationDuration
0.41158,0.15604,0.181,77CYBR,text,58.13586,411.58
0.61081,0.17692,0.21098,77CYBR,text,58.76302,610.81
0.32962,0.25376,0.17089,77CYBR,text,59.10898,329.62
0.34637,0.33796,0.13847,77CYBR,text,59.47174,346.37
0.29752,0.14782,0.18274,77CYBR,text,59.78526,297.52
0.52747,0.16412,0.27568,77CYBR,text,60.32884,527.47
0.2636,0.13946,0.36288,77CYBR,text,60.60934,263.6
0.28078,0.11788,0.41256,77CYBR,text,60.90623,280.78
0.36226,0.1869,0.38157,77CYBR,text,61.28526,362.26
0.39603,0.17767,0.28774,77CYBR,text,61.69789,396.03
0.51094,0.27911,0.25425,77CYBR,text,62.22546,510.94
0.24734,0.51477,0.33969,77CYBR,model,62.48894,247.34
0.67584,0.32834,0.46822,77CYBR,text,63.23055,675.84
0.26404,0.2224,0.52629,77CYBR,text,63.56071,264.04
0.74146,0.18702,0.62807,77CYBR,text,64.36842,741.46
0.42885,0.23486,0.51997,77CYBR,text,64.81409,428.85
0.5112,0.12251,0.54364,77CYBR,text,65.34183,511.2
0.19846,0.83562,0.55532,77CYBR,task,66.24916,198.46
0.23102,0.8304,0.41231,77CYBR,task,66.54536,231.02
0.29649,0.93517,0.39575,77CYBR,task,66.85847,296.49
0.4454,0.82149,0.3825,77CYBR,task,67.32036,445.4
0.49419,0.93904,0.46992,77CYBR,task,67.83104,494.19
0.39613,0.87691,0.60024,77CYBR,task,68.24385,396.13
0.44533,0.95798,0.5081,77CYBR,task,68.75508,445.33
0.44453,0.83471,0.45295,77CYBR,task,69.21588,444.53
0.36299,0.90629,0.54796,77CYBR,task,69.59578,362.99
0.31354,0.87217,0.58799,77CYBR,task,69.92522,313.54
0.34625,0.85662,0.49315,77CYBR,task,70.28807,346.25
0.54424,0.88961,0.62692,77CYBR,task,70.84868,544.24
0.36249,0.88341,0.84049,77CYBR,task,71.52428,362.49
0.32953,0.886,0.91126,77CYBR,task,71.87041,329.53
0.24712,0.8713,1.01338,77CYBR,task,72.13428,247.12
0.28011,0.86538,0.90756,77CYBR,task,72.43124,280.11
0.19748,0.88131,0.62581,77CYBR,task,72.64523,197.48
0.51143,0.74519,0.72388,77CYBR,model,73.2229,511.43
0.37877,0.91835,0.46894,77CYBR,task,78.02058,378.77
1.05452,0.77261,0.60739,77CYBR,model,79.09218,1054.52
0.39565,0.97648,0.53695,77CYBR,task,82.37373,395.65
0.29691,0.89357,0.4788,77CYBR,task,82.68721,296.91
0.77484,0.95676,0.54206,77CYBR,task,83.47844,774.84
0.21426,0.61909,1.03236,77CYBR,model,83.70934,214.26
0.39574,0.90851,0.49536,77CYBR,task,87.68292,395.74
0.37927,0.85793,0.5004,77CYBR,task,88.07867,379.27
0.77464,0.89486,0.55666,77CYBR,task,88.87,774.64
0.79153,0.90003,0.49585,77CYBR,task,89.67795,791.53
0.7421,0.91454,0.51513,77CYBR,task,93.157,742.1
0.08211,0.851,0.95092,77CYBR,task,93.25586,82.11
0.06613,0.82082,1.13242,77CYBR,task,93.48633,66.13
0.37926,0.95815,0.93243,77CYBR,task,94.17856,379.26
0.23103,0.90938,0.78108,77CYBR,task,94.42636,231.03
0.39609,0.82611,0.63273,77CYBR,task,94.83899,396.09
0.31297,0.96114,0.72776,77CYBR,task,95.16833,312.97
0.65947,0.95864,0.62771,77CYBR,task,95.84442,659.47
0.34639,0.85418,0.67491,77CYBR,task,96.20711,346.39
0.47804,0.93267,0.68962,77CYBR,task,96.70168,478.04
0.65974,0.95475,0.71069,77CYBR,task,97.37753,659.74
0.69286,0.99465,0.71826,77CYBR,task,98.08667,692.86
0.24707,0.97144,0.68717,77CYBR,task,98.35016,247.07
0.31339,0.85858,0.82739,77CYBR,task,98.68004,313.39
0.31392,0.89727,0.73291,77CYBR,task,99.01019,313.92
0.23087,0.95559,0.64878,77CYBR,task,99.25714,230.87
0.16443,0.97343,0.70235,77CYBR,task,99.4382,164.43
0.87395,0.84341,0.53994,77CYBR,task,100.57666,873.95
0.37921,0.87967,0.42232,77CYBR,task,100.97209,379.21
0.56061,0.89864,0.45757,77CYBR,task,101.54887,560.61
0.46208,0.84424,0.42155,77CYBR,task,102.02747,462.08
0.82368,0.89673,0.31947,77CYBR,task,102.86789,823.68
0.39606,0.82839,0.39783,77CYBR,task,103.28041,396.06
0.4454,0.83385,0.4894,77CYBR,task,103.74217,445.4
0.4283,0.93918,0.47976,77CYBR,task,104.1871,428.3
0.47798,0.86973,0.45217,77CYBR,task,104.68205,477.98
0.21443,0.85467,0.50712,77CYBR,task,105.30861,214.43
0.28038,0.92759,0.54207,77CYBR,task,105.60542,280.38
0.80728,0.97008,0.43558,77CYBR,task,106.42908,807.28
0.29651,0.86829,0.46107,77CYBR,task,106.74261,296.51
0.39548,0.84537,0.47552,77CYBR,task,107.15491,395.48
0.31337,0.95252,0.50217,77CYBR,task,107.48514,313.37
0.2637,0.84524,0.54202,77CYBR,task,107.76511,263.7
0.2964,0.9856,0.52125,77CYBR,task,108.07828,296.4
