FixationDurationInS,BPOGX,BPOGY,Participant,AOIName,TIME(2019/02/12 14:42:32.515),FixationDuration
1.12134,0.0368,0.08374,9999OREXP,hierachy,838.29565,1121.34
0.32935,0.20931,0.28386,9999OREXP,text,839.35083,329.35
0.21484,0.62976,0.33357,9999OREXP,model,839.63135,214.84
0.51099,0.82052,0.27467,9999OREXP,task,840.20776,510.99
0.60962,0.85481,0.187,9999OREXP,task,840.83423,609.62
0.62671,0.91155,0.22146,9999OREXP,task,841.47803,626.71
0.32983,0.83433,0.225,9999OREXP,task,841.82446,329.83
0.23145,0.85227,0.24608,9999OREXP,task,842.12109,231.45
0.23071,0.78974,0.29611,9999OREXP,model,842.36792,230.71
0.80786,0.88852,0.24059,9999OREXP,task,843.2915,807.86
0.72583,0.92817,0.24261,9999OREXP,task,844.03345,725.83
1.59961,0.85262,0.29568,9999OREXP,task,845.69897,1599.61
0.5769,0.89544,0.3236,9999OREXP,task,846.29248,576.9
0.84058,0.97374,0.28029,9999OREXP,task,847.14966,840.58
0.54395,0.80155,0.31507,9999OREXP,task,847.71021,543.95
0.56055,0.87767,0.36607,9999OREXP,task,848.33667,560.55
0.37915,0.66283,0.38831,9999OREXP,model,849.4248,379.15
1.46753,0.80866,0.39799,9999OREXP,task,850.90869,1467.53
0.36304,0.91012,0.37332,9999OREXP,task,851.33765,363.04
0.60962,0.84918,0.39542,9999OREXP,task,851.96362,609.62
1.12134,0.87105,0.42208,9999OREXP,task,853.10181,1121.34
0.93945,0.8215,0.34506,9999OREXP,task,854.05762,939.45
0.31348,0.85246,0.21983,9999OREXP,task,854.38745,313.48
0.26343,0.72143,0.28593,9999OREXP,model,855.26123,263.43
0.69263,0.75703,0.4244,9999OREXP,model,855.97021,692.63
0.19775,0.97413,0.17426,9999OREXP,task,856.4812,197.75
0.23071,0.98839,0.4157,9999OREXP,task,856.72852,230.71
0.29688,0.91648,0.33209,9999OREXP,task,857.04175,296.88
0.2146,0.84771,0.23343,9999OREXP,task,857.27271,214.6
0.37915,0.80697,0.12876,9999OREXP,task,857.66821,379.15
0.34644,0.84973,0.22118,9999OREXP,task,858.24561,346.44
0.198,0.18821,0.17473,9999OREXP,text,858.50928,198
0.31348,0.23616,0.65324,9999OREXP,text,859.21802,313.48
0.44507,0.33594,0.32533,9999OREXP,text,860.17432,445.07
0.39575,0.28497,0.18257,9999OREXP,text,860.58667,395.75
0.24756,0.14056,0.15222,9999OREXP,text,860.85059,247.56
0.33008,0.86046,0.41,9999OREXP,task,862.74731,330.08
0.32935,0.93288,0.36907,9999OREXP,task,863.09302,329.35
0.65918,0.85155,0.41363,9999OREXP,task,863.76929,659.18
0.34619,0.83034,0.31503,9999OREXP,task,864.13208,346.19
0.41235,0.84416,0.19879,9999OREXP,task,864.56055,412.35
0.84058,0.91473,0.28471,9999OREXP,task,865.41797,840.58
0.29663,0.90043,0.14983,9999OREXP,task,865.7312,296.63
0.24683,0.89143,0.29014,9999OREXP,task,866.04443,246.83
0.37891,0.89933,0.27585,9999OREXP,task,866.48975,378.91
